Player,Team,Season,PPG,RPG,APG,WS
Maxi Kleber,DAL,21/22,7.0,5.9,1.2,3.0
Dennis Schröder,BOSHOU,21/22,13.5,3.3,4.6,2.9
KJ Martin,HOU,21/22,8.8,3.8,1.3,2.9
Isaiah Roby,OKC,21/22,10.1,4.8,1.6,2.9
Tre Jones,SAS,21/22,6.0,2.2,3.4,2.9
Cedi Osman,CLE,21/22,10.7,2.2,2.0,2.9
Austin Reaves,LAL,21/22,7.3,3.2,1.8,2.9
Malik Beasley,MIN,21/22,12.1,2.9,1.5,2.9
Gordon Hayward,CHO,21/22,15.9,4.6,3.6,2.8
Patty Mills,BRK,21/22,11.4,1.9,2.3,2.8
Norman Powell,LACPOR,21/22,19.0,3.2,2.1,2.8
Kevin Huerter,ATL,21/22,12.1,3.4,2.7,2.8
Kentavious Caldwell-Pope,WAS,21/22,13.2,3.4,1.9,2.8
Jaylen Nowell,MIN,21/22,8.5,2.0,2.1,2.8
Georges Niang,PHI,21/22,9.2,2.7,1.3,2.8
Jalen Smith,INDPHO,21/22,9.2,6.0,0.5,2.8
Devonte' Graham,NOP,21/22,11.9,2.3,4.2,2.8
Garrison Mathews,HOU,21/22,10.0,2.9,1.0,2.8
Moritz Wagner,ORL,21/22,9.0,3.7,1.4,2.8
JaMychal Green,DEN,21/22,6.4,4.2,0.9,2.7
Malcolm Brogdon,IND,21/22,19.1,5.1,5.9,2.7
Damion Lee,GSW,21/22,7.4,3.2,1.0,2.7
Taj Gibson,NYK,21/22,4.4,4.4,0.6,2.7
Khem Birch,TOR,21/22,4.5,4.3,1.0,2.6
Landry Shamet,PHO,21/22,8.3,1.8,1.6,2.6
De'Aaron Fox,SAC,21/22,23.2,3.9,5.6,2.5
Gabe Vincent,MIA,21/22,8.7,1.9,3.1,2.5
Precious Achiuwa,TOR,21/22,9.1,6.5,1.1,2.5
Cory Joseph,DET,21/22,8.0,2.7,3.6,2.5
Marcus Morris,LAC,21/22,15.4,4.4,2.1,2.4
Jaden McDaniels,MIN,21/22,9.2,4.2,1.1,2.4
Deni Avdija,WAS,21/22,8.4,5.2,2.0,2.4
Bones Hyland,DEN,21/22,10.1,2.7,2.8,2.4
Josh Green,DAL,21/22,4.8,2.4,1.2,2.4
Terry Taylor,IND,21/22,9.6,5.2,1.2,2.4
Nikola Jokić,DEN,23/24,26.4,12.4,9.0,17.0
Shai Gilgeous-Alexander,OKC,23/24,30.1,5.5,6.2,14.6
Giannis Antetokounmpo,MIL,23/24,30.4,11.5,6.5,13.2
Domantas Sabonis,SAC,23/24,19.4,13.7,8.2,12.6
Luka Dončić,DAL,23/24,33.9,9.2,9.8,12.0
Anthony Davis,LAL,23/24,24.7,12.6,3.5,11.8
Rudy Gobert,MIN,23/24,14.0,12.9,1.3,11.6
Jalen Brunson,NYK,23/24,28.7,3.6,6.7,11.2
Jarrett Allen,CLE,23/24,16.5,10.5,2.7,10.7
Jayson Tatum,BOS,23/24,26.9,8.1,4.9,10.4
Devin Booker,PHO,23/24,27.1,4.5,6.9,9.2
DeMar DeRozan,CHI,23/24,24.0,4.3,5.3,9.2
Jimmy Butler,MIA,23/24,20.8,5.3,5.0,9.1
Tyrese Haliburton,IND,23/24,20.1,3.9,10.9,9.0
Chet Holmgren,OKC,23/24,16.5,7.9,2.4,8.9
Kawhi Leonard,LAC,23/24,23.7,6.1,3.6,8.9
LeBron James,LAL,23/24,25.7,7.3,8.3,8.5
Derrick White,BOS,23/24,15.2,4.2,5.2,8.5
Fred VanVleet,HOU,23/24,17.4,3.8,8.1,8.4
James Harden,LAC,23/24,16.6,5.1,8.5,8.4
Kevin Durant,PHO,23/24,27.1,6.6,5.0,8.3
Mike Conley,MIN,23/24,11.4,2.9,5.9,8.2
Tyrese Maxey,PHI,23/24,25.9,3.7,6.2,8.1
Isaiah Hartenstein,NYK,23/24,7.8,8.3,2.5,8.1
Kristaps Porziņģis,BOS,23/24,20.1,7.2,2.0,7.9
Daniel Gafford,DALWAS,23/24,11.0,7.6,1.6,7.8
Damian Lillard,MIL,23/24,24.3,4.4,7.0,7.7
Zion Williamson,NOP,23/24,22.9,5.8,5.0,7.5
Anthony Edwards,MIN,23/24,25.9,5.4,5.1,7.5
Joel Embiid,PHI,23/24,34.7,11.0,5.6,7.5
Paul George,LAC,23/24,22.6,5.2,3.5,7.3
Jalen Williams,OKC,23/24,19.1,4.0,4.5,7.3
Bam Adebayo,MIA,23/24,19.3,10.4,3.9,7.2
Stephen Curry,GSW,23/24,26.4,4.5,5.1,7.2
Aaron Gordon,DEN,23/24,13.9,6.5,3.5,7.1
Jonas Valančiūnas,NOP,23/24,12.2,8.8,2.1,7.1
Alperen Şengün,HOU,23/24,21.1,9.3,5.0,6.9
Kyrie Irving,DAL,23/24,25.6,5.0,5.2,6.9
Grayson Allen,PHO,23/24,13.5,3.9,3.0,6.9
Pascal Siakam,INDTOR,23/24,21.7,7.1,4.3,6.9
Ivica Zubac,LAC,23/24,11.7,9.2,1.4,6.8
Nic Claxton,BRK,23/24,11.8,9.9,2.1,6.7
Donte DiVincenzo,NYK,23/24,15.5,3.7,2.7,6.6
De'Aaron Fox,SAC,23/24,26.6,4.6,5.6,6.5
Donovan Mitchell,CLE,23/24,26.6,5.1,6.1,6.4
Franz Wagner,ORL,23/24,19.7,5.3,3.7,6.4
Herbert Jones,NOP,23/24,11.0,3.6,2.6,6.3
Clint Capela,ATL,23/24,11.5,10.6,1.2,6.3
Jrue Holiday,BOS,23/24,12.5,5.4,4.8,6.3
Karl-Anthony Towns,MIN,23/24,21.8,8.3,3.0,6.3
Al Horford,BOS,23/24,8.6,6.4,2.6,6.2
Lauri Markkanen,UTA,23/24,23.2,8.2,2.0,6.2
Michael Porter Jr.,DEN,23/24,16.7,7.0,1.5,6.2
Payton Pritchard,BOS,23/24,9.6,3.2,3.4,6.1
Tobias Harris,PHI,23/24,17.2,6.5,3.1,5.9
CJ McCollum,NOP,23/24,20.0,4.3,4.6,5.9
Jaylen Brown,BOS,23/24,23.0,5.5,3.6,5.9
Jamal Murray,DEN,23/24,21.2,4.1,6.5,5.9
Austin Reaves,LAL,23/24,15.9,4.3,5.5,5.9
Brook Lopez,MIL,23/24,12.5,5.2,1.6,5.9
Myles Turner,IND,23/24,17.1,6.9,1.3,5.8
Jusuf Nurkić,PHO,23/24,10.9,11.0,4.0,5.8
Josh Hart,NYK,23/24,9.4,8.3,4.1,5.7
Jabari Smith Jr.,HOU,23/24,13.7,8.1,1.6,5.6
Moritz Wagner,ORL,23/24,10.8,4.3,1.2,5.6
Evan Mobley,CLE,23/24,15.7,9.4,3.2,5.5
Collin Sexton,UTA,23/24,18.7,2.6,4.9,5.5
Nikola Vučević,CHI,23/24,18.0,10.5,3.3,5.4
Trey Murphy III,NOP,23/24,14.8,4.9,2.2,5.4
Paolo Banchero,ORL,23/24,22.6,6.9,5.4,5.3
Keegan Murray,SAC,23/24,15.2,5.5,1.7,5.2
Nick Richards,CHO,23/24,9.7,8.0,0.8,5.1
Paul Reed,PHI,23/24,7.3,6.0,1.3,5.1
Brandon Ingram,NOP,23/24,20.8,5.1,5.7,5.1
D'Angelo Russell,LAL,23/24,18.0,3.1,6.3,5.1
Luke Kornet,BOS,23/24,5.3,4.1,1.1,5.1
Tre Jones,SAS,23/24,10.0,3.8,6.2,4.9
Dereck Lively II,DAL,23/24,8.8,6.9,1.1,4.9
Andre Drummond,CHI,23/24,8.4,9.0,0.5,4.9
Naz Reid,MIN,23/24,13.5,5.2,1.3,4.9
Alex Caruso,CHI,23/24,10.1,3.8,3.5,4.9
Kelly Olynyk,TORUTA,23/24,9.8,5.3,4.4,4.9
Dejounte Murray,ATL,23/24,22.5,5.3,6.4,4.9
Sam Hauser,BOS,23/24,9.0,3.5,1.0,4.9
Jalen Duren,DET,23/24,13.8,11.6,2.4,4.8
Trayce Jackson-Davis,GSW,23/24,7.9,5.0,1.2,4.8
Kentavious Caldwell-Pope,DEN,23/24,10.1,2.4,2.4,4.8
Obi Toppin,IND,23/24,10.3,3.9,1.6,4.8
Immanuel Quickley,NYKTOR,23/24,17.0,3.8,4.9,4.7
Jalen Suggs,ORL,23/24,12.6,3.1,2.7,4.7
Coby White,CHI,23/24,19.1,4.5,5.1,4.7
Bobby Portis,MIL,23/24,13.8,7.4,1.3,4.7
Harrison Barnes,SAC,23/24,12.2,3.0,1.2,4.7
Trae Young,ATL,23/24,25.7,2.8,10.8,4.6
Jonathan Kuminga,GSW,23/24,16.1,4.8,2.2,4.6
Luguentz Dort,OKC,23/24,10.9,3.6,1.4,4.6
Tyus Jones,WAS,23/24,12.0,2.7,7.3,4.5
Onyeka Okongwu,ATL,23/24,10.2,6.8,1.3,4.5
Kyle Anderson,MIN,23/24,6.4,3.5,4.2,4.5
Wendell Carter Jr.,ORL,23/24,11.0,6.9,1.7,4.4
John Collins,UTA,23/24,15.1,8.5,1.1,4.4
Chris Paul,GSW,23/24,9.2,3.9,6.8,4.3
Amen Thompson,HOU,23/24,9.5,6.6,2.6,4.3
Josh Giddey,OKC,23/24,12.3,6.4,4.8,4.3
Scottie Barnes,TOR,23/24,19.8,8.2,6.0,4.3
Nickeil Alexander-Walker,MIN,23/24,8.0,2.0,2.5,4.3
Mikal Bridges,BRK,23/24,19.6,4.5,3.6,4.2
Isaac Okoro,CLE,23/24,9.4,3.0,1.9,4.2
Terance Mann,LAC,23/24,8.8,3.4,1.6,4.2
Brandin Podziemski,GSW,23/24,9.2,5.8,3.7,4.1
Rui Hachimura,LAL,23/24,13.6,4.3,1.2,4.1
Norman Powell,LAC,23/24,13.9,2.6,1.1,4.1
Ayo Dosunmu,CHI,23/24,12.2,2.8,3.2,4.1
Walker Kessler,UTA,23/24,8.1,7.5,0.9,4.1
Aaron Nesmith,IND,23/24,12.2,3.8,1.5,4.1
Larry Nance Jr.,NOP,23/24,5.7,5.0,1.9,4.1
Kevon Looney,GSW,23/24,4.5,5.7,1.8,4.0
Cason Wallace,OKC,23/24,6.8,2.3,1.5,4.0
Jaime Jaquez Jr.,MIA,23/24,11.9,3.8,2.6,4.0
Jalen Smith,IND,23/24,9.9,5.5,1.0,4.0
Bogdan Bogdanović,ATL,23/24,16.9,3.4,3.1,3.9
Bradley Beal,PHO,23/24,18.2,4.4,5.0,3.9
Deandre Ayton,POR,23/24,16.7,11.1,1.6,3.9
Max Strus,CLE,23/24,12.2,4.8,4.0,3.9
Terry Rozier,CHOMIA,23/24,19.8,4.0,5.6,3.9
T.J. McConnell,IND,23/24,10.2,2.7,5.5,3.9
Julius Randle,NYK,23/24,24.0,9.2,5.0,3.8
Jalen Johnson,ATL,23/24,16.0,8.7,3.6,3.8
Jakob Poeltl,TOR,23/24,11.1,8.6,2.5,3.8
Victor Wembanyama,SAS,23/24,21.4,10.6,3.9,3.7
Goga Bitadze,ORL,23/24,5.0,4.6,1.3,3.7
Aaron Wiggins,OKC,23/24,6.9,2.4,1.1,3.7
Spencer Dinwiddie,BRKLAL,23/24,10.5,2.7,4.7,3.6
Miles McBride,NYK,23/24,8.3,1.5,1.7,3.6
Cole Anthony,ORL,23/24,11.6,3.8,2.9,3.6
Duncan Robinson,MIA,23/24,12.9,2.5,2.8,3.6
Devin Vassell,SAS,23/24,19.5,3.8,4.1,3.6
Caris LeVert,CLE,23/24,14.0,4.1,5.1,3.6
Draymond Green,GSW,23/24,8.6,7.2,6.0,3.6
Jonathan Isaac,ORL,23/24,6.8,4.5,0.5,3.6
Klay Thompson,GSW,23/24,17.9,3.3,2.3,3.6
Malik Beasley,MIL,23/24,11.3,3.7,1.4,3.5
Kyle Lowry,MIAPHI,23/24,8.1,3.2,4.2,3.5
Malik Monk,SAC,23/24,15.4,2.9,5.1,3.5
Isaiah Joe,OKC,23/24,8.2,2.3,1.3,3.5
Buddy Hield,INDPHI,23/24,12.1,3.2,2.8,3.5
Saddiq Bey,ATL,23/24,13.7,6.5,1.5,3.5
Precious Achiuwa,NYKTOR,23/24,7.6,6.6,1.3,3.4
Royce O'Neale,BRKPHO,23/24,7.7,4.8,2.8,3.4
Christian Braun,DEN,23/24,7.3,3.7,1.6,3.4
Khris Middleton,MIL,23/24,15.1,4.7,5.3,3.4
Jaden McDaniels,MIN,23/24,10.5,3.1,1.4,3.4
Cameron Johnson,BRK,23/24,13.4,4.3,2.4,3.3
Nicolas Batum,LACPHI,23/24,5.3,4.1,2.1,3.3
Isaiah Jackson,IND,23/24,6.5,4.0,0.8,3.3
Dennis Schröder,BRKTOR,23/24,14.0,3.0,6.1,3.3
Kevin Love,MIA,23/24,8.8,6.1,2.1,3.3
Deni Avdija,WAS,23/24,14.7,7.2,3.8,3.2
Dwight Powell,DAL,23/24,3.3,3.4,1.3,3.1
Drew Eubanks,PHO,23/24,5.1,4.3,0.8,3.1
Derrick Jones Jr.,DAL,23/24,8.6,3.3,1.0,3.1
Haywood Highsmith,MIA,23/24,6.1,3.2,1.1,3.1
Desmond Bane,MEM,23/24,23.7,4.4,5.5,3.1
Jalen Green,HOU,23/24,19.6,5.2,3.5,3.1
Keldon Johnson,SAS,23/24,15.7,5.5,2.8,3.0
Kelly Oubre Jr.,PHI,23/24,15.4,5.0,1.5,3.0
Jaren Jackson Jr.,MEM,23/24,22.5,5.5,2.3,3.0
Jabari Walker,POR,23/24,8.9,7.1,1.0,2.9
Day'Ron Sharpe,BRK,23/24,6.8,6.4,1.4,2.9
Kevin Huerter,SAC,23/24,10.2,3.5,2.6,2.9
Dyson Daniels,NOP,23/24,5.8,3.9,2.7,2.9
Dante Exum,DAL,23/24,7.8,2.7,2.9,2.9
RJ Barrett,NYKTOR,23/24,20.2,5.4,3.3,2.9
Andrew Wiggins,GSW,23/24,13.2,4.5,1.7,2.8
Dario Šarić,GSW,23/24,8.0,4.4,2.2,2.8
Vince Williams Jr.,MEM,23/24,10.0,5.6,3.4,2.8
Pat Connaughton,MIL,23/24,5.6,3.1,2.1,2.8
Sam Merrill,CLE,23/24,8.0,2.0,1.8,2.8
Patrick Beverley,MILPHI,23/24,6.2,3.3,2.9,2.7
Jerami Grant,POR,23/24,21.0,3.5,2.8,2.7
Gary Harris,ORL,23/24,6.9,1.7,1.6,2.7
Marvin Bagley III,DETWAS,23/24,11.7,6.2,1.1,2.7
Dillon Brooks,HOU,23/24,12.7,3.4,1.7,2.7
Darius Garland,CLE,23/24,18.0,2.7,6.5,2.7
Grant Williams,CHODAL,23/24,10.3,4.2,2.3,2.6
Naji Marshall,NOP,23/24,7.1,3.6,1.9,2.6
Joe Ingles,ORL,23/24,4.4,2.1,3.0,2.6
Dorian Finney-Smith,BRK,23/24,8.5,4.7,1.6,2.6
OG Anunoby,NYKTOR,23/24,14.7,4.2,2.1,2.6
Malcolm Brogdon,POR,23/24,15.7,3.8,5.5,2.6
Jeff Green,HOU,23/24,6.5,2.3,0.9,2.6
Amir Coffey,LAC,23/24,6.6,2.1,1.1,2.6
Dean Wade,CLE,23/24,5.4,4.0,0.8,2.5
Cam Thomas,BRK,23/24,22.5,3.2,2.9,2.5
Jordan McLaughlin,MIN,23/24,3.5,1.3,2.0,2.5
Daniel Theis,INDLAC,23/24,6.3,4.1,1.0,2.5
Eric Gordon,PHO,23/24,11.0,1.8,2.0,2.5
Mitchell Robinson,NYK,23/24,5.6,8.5,0.6,2.5
Aaron Holiday,HOU,23/24,6.6,1.6,1.8,2.5
Jaxson Hayes,LAL,23/24,4.3,3.0,0.5,2.5
Dirk Nowitzki,DAL,06/07,24.6,8.9,3.4,16.3
LeBron James,CLE,06/07,27.3,6.7,6.0,13.7
Tim Duncan,SAS,06/07,20.0,10.6,3.4,13.0
Kobe Bryant,LAL,06/07,31.6,5.7,5.4,13.0
Steve Nash,PHO,06/07,18.6,3.5,11.6,12.6
Shawn Marion,PHO,06/07,17.5,9.8,1.7,12.0
Elton Brand,LAC,06/07,20.5,9.3,2.9,11.5
Chauncey Billups,DET,06/07,17.0,3.4,7.2,11.4
Luol Deng,CHI,06/07,18.8,7.1,2.5,11.3
Amar'e Stoudemire,PHO,06/07,20.4,9.6,1.0,11.2
Gilbert Arenas,WAS,06/07,28.4,4.6,6.0,10.8
Jason Terry,DAL,06/07,16.7,2.9,5.2,10.8
Kevin Garnett,MIN,06/07,22.4,12.8,4.1,10.7
Manu Ginóbili,SAS,06/07,16.5,4.4,3.5,10.6
Vince Carter,NJN,06/07,25.2,6.0,4.8,10.5
Kevin Martin,SAC,06/07,20.2,4.3,2.2,10.2
Kirk Hinrich,CHI,06/07,16.6,3.4,6.2,10.1
Carlos Boozer,UTA,06/07,20.9,11.7,3.0,9.9
Dwight Howard,ORL,06/07,17.6,12.3,1.9,9.7
Tony Parker,SAS,06/07,18.6,3.2,5.5,9.6
Chris Bosh,TOR,06/07,22.6,10.7,2.5,9.6
Jason Kidd,NJN,06/07,13.0,8.2,9.2,9.3
Shane Battier,HOU,06/07,10.1,4.1,2.1,9.0
Josh Howard,DAL,06/07,18.9,6.8,1.8,8.8
Dwyane Wade,MIA,06/07,27.4,4.7,7.5,8.8
Chris Paul,NOK,06/07,17.2,4.4,8.9,8.8
Mehmet Okur,UTA,06/07,17.6,7.2,2.0,8.8
Tracy McGrady,HOU,06/07,24.6,5.3,6.5,8.6
Ben Gordon,CHI,06/07,21.4,3.1,3.6,8.6
Ben Wallace,CHI,06/07,6.4,10.7,2.4,8.2
Leandro Barbosa,PHO,06/07,18.0,2.7,4.0,8.2
Richard Hamilton,DET,06/07,19.8,3.8,3.8,8.1
Tayshaun Prince,DET,06/07,14.3,5.2,2.8,8.0
Tyson Chandler,NOK,06/07,9.5,12.4,0.9,7.9
Gerald Wallace,CHA,06/07,18.1,7.2,2.6,7.7
Andre Iguodala,PHI,06/07,18.2,5.7,5.7,7.7
Marcus Camby,DEN,06/07,11.2,11.7,3.2,7.6
Rashard Lewis,SEA,06/07,22.4,6.6,2.4,7.6
Yao Ming,HOU,06/07,25.0,9.4,2.0,7.4
Carmelo Anthony,DEN,06/07,28.9,6.0,3.8,7.3
Deron Williams,UTA,06/07,16.2,3.3,9.3,7.2
Emeka Okafor,CHA,06/07,14.4,11.3,1.2,7.1
Corey Maggette,LAC,06/07,16.9,5.9,2.8,7.0
Pau Gasol,MEM,06/07,20.8,9.8,3.4,6.9
David Lee,NYK,06/07,10.7,10.4,1.8,6.9
Antawn Jamison,WAS,06/07,19.8,8.0,1.9,6.8
Brent Barry,SAS,06/07,8.5,2.1,1.8,6.8
Andris Biedriņš,GSW,06/07,9.5,9.3,1.1,6.7
Metta World Peace,SAC,06/07,18.8,6.5,3.4,6.7
Al Jefferson,BOS,06/07,16.0,11.0,1.3,6.6
Rafer Alston,HOU,06/07,13.3,3.4,5.4,6.6
Anderson Varejão,CLE,06/07,6.8,6.7,0.9,6.6
Zydrunas Ilgauskas,CLE,06/07,11.9,7.7,1.6,6.6
Devin Harris,DAL,06/07,10.2,2.4,3.7,6.5
Drew Gooden,CLE,06/07,11.1,8.5,1.1,6.5
Danny Granger,IND,06/07,13.9,4.6,1.4,6.5
Anthony Parker,TOR,06/07,12.4,3.9,2.1,6.5
Baron Davis,GSW,06/07,20.1,4.4,8.1,6.4
Chuck Hayes,HOU,06/07,5.6,6.7,0.6,6.4
Erick Dampier,DAL,06/07,7.1,7.4,0.6,6.4
Ray Allen,SEA,06/07,26.4,4.5,4.1,6.3
Rasheed Wallace,DET,06/07,12.3,7.2,1.7,6.2
Allen Iverson,DENPHI,06/07,26.3,3.0,7.2,6.2
Samuel Dalembert,PHI,06/07,10.7,8.9,0.8,6.2
Michael Redd,MIL,06/07,26.7,3.7,2.3,6.1
Antonio McDyess,DET,06/07,8.1,6.0,0.9,6.0
Chris Wilcox,SEA,06/07,13.5,7.7,1.0,6.0
Stephon Marbury,NYK,06/07,16.4,2.9,5.4,5.9
Andre Miller,DENPHI,06/07,13.4,4.4,7.8,5.9
Raja Bell,PHO,06/07,14.7,3.2,2.5,5.8
Ricky Davis,MIN,06/07,17.0,3.9,4.8,5.7
Mikki Moore,NJN,06/07,9.8,5.1,0.9,5.7
Luther Head,HOU,06/07,10.9,3.2,2.4,5.7
Zach Randolph,POR,06/07,23.6,10.1,2.2,5.7
Josh Childress,ATL,06/07,13.0,6.2,2.3,5.5
José Calderón,TOR,06/07,8.7,1.7,5.0,5.4
Ruben Patterson,MIL,06/07,14.7,5.4,2.9,5.4
Paul Pierce,BOS,06/07,25.0,5.9,4.1,5.4
Nenê,DEN,06/07,12.2,7.0,1.2,5.3
Caron Butler,WAS,06/07,19.1,7.4,3.7,5.3
James Posey,MIA,06/07,7.7,5.0,1.3,5.2
David West,NOK,06/07,18.2,8.2,2.2,5.2
Dikembe Mutombo,HOU,06/07,3.1,6.5,0.2,5.2
Grant Hill,ORL,06/07,14.4,3.6,2.1,5.1
Joe Johnson,ATL,06/07,25.0,4.2,4.4,5.1
Mike Dunleavy,GSWIND,06/07,12.8,5.3,2.8,5.1
Udonis Haslem,MIA,06/07,10.7,8.3,1.2,5.1
Hedo Türkoğlu,ORL,06/07,13.3,4.0,3.2,4.9
Chucky Atkins,MEM,06/07,13.2,1.9,4.6,4.9
Juwan Howard,HOU,06/07,9.7,5.9,1.6,4.9
Mike Miller,MEM,06/07,18.5,5.4,4.3,4.8
Chris Duhon,CHI,06/07,7.2,2.2,4.0,4.8
Zaza Pachulia,ATL,06/07,12.2,6.9,1.5,4.8
Jarrett Jack,POR,06/07,12.0,2.6,5.3,4.8
Eduardo Nájera,DEN,06/07,6.6,4.1,0.9,4.8
Brandon Roy,POR,06/07,16.8,4.4,4.0,4.8
Michael Finley,SAS,06/07,9.0,2.7,1.3,4.7
Eddy Curry,NYK,06/07,19.5,7.0,0.8,4.7
Paul Millsap,UTA,06/07,6.8,5.2,0.8,4.7
Matt Harpring,UTA,06/07,11.6,4.6,1.3,4.7
Jermaine O'Neal,IND,06/07,19.4,9.6,2.4,4.7
Lamar Odom,LAL,06/07,15.9,9.8,4.8,4.7
Kyle Korver,PHI,06/07,14.4,3.5,1.4,4.6
Nick Collison,SEA,06/07,9.6,8.1,1.0,4.6
Cuttino Mobley,LAC,06/07,13.8,3.4,2.5,4.6
Boris Diaw,PHO,06/07,9.7,4.3,4.8,4.6
Matt Carroll,CHA,06/07,12.1,2.9,1.3,4.6
Jeff Foster,IND,06/07,4.3,8.1,0.8,4.5
Troy Murphy,GSWIND,06/07,10.3,6.1,1.9,4.5
Earl Boykins,DENMIL,06/07,14.6,2.1,4.4,4.5
Andrei Kirilenko,UTA,06/07,8.3,4.7,2.9,4.4
Mike Bibby,SAC,06/07,17.1,3.2,4.7,4.4
Josh Smith,ATL,06/07,16.4,8.6,3.3,4.4
Jason Williams,MIA,06/07,10.9,2.3,5.3,4.3
T.J. Ford,TOR,06/07,14.0,3.1,7.9,4.3
Antonio Daniels,WAS,06/07,7.1,1.9,3.6,4.3
Al Harrington,GSWIND,06/07,16.5,6.4,1.9,4.3
Ryan Gomes,BOS,06/07,12.1,5.6,1.6,4.2
Jason Kapono,MIA,06/07,10.9,2.7,1.2,4.2
Andrew Bynum,LAL,06/07,7.8,5.9,1.1,4.2
Rasho Nesterović,TOR,06/07,6.2,4.5,0.9,4.1
Fabricio Oberto,SAS,06/07,4.4,4.7,0.9,4.1
Jerry Stackhouse,DAL,06/07,12.0,2.2,2.8,4.1
Boštjan Nachbar,NJN,06/07,9.2,3.3,0.8,4.1
Stephen Jackson,GSWIND,06/07,15.5,3.0,3.8,4.1
Andrés Nocioni,CHI,06/07,14.1,5.7,1.1,4.1
Bruce Bowen,SAS,06/07,6.2,2.7,1.4,4.1
Charlie Bell,MIL,06/07,13.5,2.9,3.0,4.0
Andrew Bogut,MIL,06/07,12.3,8.8,3.0,4.0
Jameer Nelson,ORL,06/07,13.0,3.1,4.3,4.0
Monta Ellis,GSW,06/07,16.5,3.2,4.1,4.0
Derek Fisher,UTA,06/07,10.1,1.8,3.3,3.9
Larry Hughes,CLE,06/07,14.9,3.8,3.7,3.9
Tim Thomas,LAC,06/07,11.0,5.0,2.2,3.9
Ime Udoka,POR,06/07,8.4,3.7,1.5,3.9
Craig Smith,MIN,06/07,7.4,5.1,0.6,3.9
Donyell Marshall,CLE,06/07,7.0,4.0,0.6,3.8
Luke Walton,LAL,06/07,11.4,5.0,4.3,3.8
DeSagana Diop,DAL,06/07,2.3,5.4,0.4,3.8
Delonte West,BOS,06/07,12.2,3.0,4.4,3.7
Matt Barnes,GSW,06/07,9.8,4.6,2.1,3.7
J.R. Smith,DEN,06/07,13.0,2.3,1.4,3.7
Hakim Warrick,MEM,06/07,12.7,5.1,0.9,3.7
John Salmons,SAC,06/07,8.5,3.3,3.2,3.6
Mickaël Piétrus,GSW,06/07,11.1,4.5,0.9,3.6
Devin Brown,NOK,06/07,11.6,4.3,2.6,3.5
Alonzo Mourning,MIA,06/07,8.6,4.5,0.2,3.5
Quentin Richardson,NYK,06/07,13.0,7.2,2.2,3.5
Brendan Haywood,WAS,06/07,6.6,6.2,0.6,3.4
LaMarcus Aldridge,POR,06/07,9.0,5.0,0.4,3.4
Chris Webber,DETPHI,06/07,11.2,7.2,3.1,3.4
Trevor Ariza,ORL,06/07,8.9,4.4,1.1,3.4
Richard Jefferson,NJN,06/07,16.3,4.4,2.7,3.4
Darko Miličić,ORL,06/07,8.0,5.5,1.1,3.3
Darrell Armstrong,IND,06/07,5.6,1.7,2.4,3.2
Nate Robinson,NYK,06/07,10.1,2.4,1.4,3.2
Quinton Ross,LAC,06/07,5.2,2.3,1.1,3.2
Mo Williams,MIL,06/07,17.3,4.8,6.1,3.2
Sasha Pavlović,CLE,06/07,9.0,2.4,1.6,3.1
Jamal Crawford,NYK,06/07,17.6,3.2,4.4,3.1
Eddie Jones,MEMMIA,06/07,7.7,3.0,1.7,3.1
Ronny Turiaf,LAL,06/07,5.3,3.6,0.9,3.1
Francisco Elson,SAS,06/07,5.0,4.8,0.8,3.1
DeShawn Stevenson,WAS,06/07,11.2,2.6,2.7,3.1
Jason Richardson,GSW,06/07,16.0,5.1,3.4,3.0
Jorge Garbajosa,TOR,06/07,8.5,4.9,1.9,3.0
Joey Graham,TOR,06/07,6.4,3.1,0.6,3.0
Robert Horry,SAS,06/07,3.9,3.4,1.1,2.9
Steve Francis,NYK,06/07,11.3,3.6,3.9,2.9
Derek Anderson,CHA,06/07,8.0,2.3,2.7,2.9
Kurt Thomas,PHO,06/07,4.6,5.7,0.4,2.9
Morris Peterson,TOR,06/07,8.9,3.3,0.7,2.9
Carlos Delfino,DET,06/07,5.2,3.2,1.1,2.9
Chris Kaman,LAC,06/07,10.1,7.8,1.1,2.9
Steven Hunter,PHI,06/07,6.4,4.8,0.4,2.8
Damien Wilkins,SEA,06/07,8.8,2.8,1.9,2.8
Shaquille O'Neal,MIA,06/07,17.2,7.4,2.0,2.8
Mike James,MIN,06/07,10.1,2.0,3.6,2.8
Shareef Abdur-Rahim,SAC,06/07,9.9,5.0,1.4,2.8
Linas Kleiza,DEN,06/07,7.6,3.4,0.6,2.8
Jamaal Tinsley,IND,06/07,12.8,3.3,6.9,2.8
Eric Snow,CLE,06/07,4.2,2.3,4.0,2.8
Mark Blount,MIN,06/07,12.3,6.2,0.8,2.8
Sam Cassell,LAC,06/07,12.3,2.9,4.7,2.8
Renaldo Balkman,NYK,06/07,4.9,4.3,0.6,2.8
Joe Smith,DENPHI,06/07,8.5,6.2,0.8,2.8
Etan Thomas,WAS,06/07,6.1,5.8,0.4,2.7
Brad Miller,SAC,06/07,9.0,6.4,3.6,2.7
Tony Battie,ORL,06/07,6.1,5.2,0.5,2.7
Rasual Butler,NOK,06/07,10.1,3.2,0.8,2.6
Maurice Evans,LAL,06/07,8.4,2.9,1.0,2.6
Trenton Hassell,MIN,06/07,6.7,3.2,2.7,2.6
