Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,Standings
Ed Davis,BRK,18/19,5.8,8.6,0.8,0.512,5.7,0,10
De'Aaron Fox,SAC,18/19,17.3,3.8,7.3,0.476,5.6,0,12
CJ McCollum,POR,18/19,21.0,4.0,3.0,0.646,5.6,0,5
Josh Richardson,MIA,18/19,16.6,3.6,4.1,0.476,5.6,0,12
Thomas Bryant,WAS,18/19,10.5,6.3,1.3,0.39,5.6,0,16
Joe Harris,BRK,18/19,13.7,3.8,2.4,0.512,5.5,0,10
Jrue Holiday,NOP,18/19,21.2,5.0,7.7,0.402,5.4,0,15
Marcus Smart,BOS,18/19,8.8,2.9,4.0,0.598,5.3,0,8
Jeremy Lamb,CHO,18/19,15.3,5.5,2.2,0.476,5.3,0,12
Klay Thompson,GSW,18/19,21.5,3.8,2.4,0.695,5.3,0,3
Jakob Poeltl,SAS,18/19,5.5,5.3,1.2,0.585,5.1,0,9
Jamal Murray,DEN,18/19,18.2,4.2,4.8,0.659,5.1,0,4
Lou Williams,LAC,18/19,20.0,3.0,5.4,0.585,5.1,0,9
Aaron Gordon,ORL,18/19,16.0,7.4,3.7,0.512,5.1,0,10
Taj Gibson,MIN,18/19,10.8,6.5,1.2,0.439,5.1,0,14
P.J. Tucker,HOU,18/19,7.3,5.8,1.2,0.646,5.0,0,5
Donovan Mitchell,UTA,18/19,23.8,4.1,4.2,0.61,5.0,0,7
Reggie Jackson,DET,18/19,15.4,2.6,4.2,0.5,5.0,0,11
Jayson Tatum,BOS,18/19,15.7,6.0,2.1,0.598,5.0,0,8
D'Angelo Russell,BRK,18/19,21.1,3.9,7.0,0.512,5.0,0,10
Larry Nance Jr.,CLE,18/19,9.4,8.2,3.2,0.232,4.9,0,19
Gordon Hayward,BOS,18/19,11.5,4.5,3.4,0.598,4.9,0,8
Luka Dončić,DAL,18/19,21.2,7.8,6.0,0.402,4.9,0,15
Spencer Dinwiddie,BRK,18/19,16.8,2.4,4.6,0.512,4.8,0,10
Patrick Beverley,LAC,18/19,7.6,5.0,3.8,0.585,4.8,0,9
Kelly Olynyk,MIA,18/19,10.0,4.7,1.8,0.476,4.7,0,12
