Rk;Player;WS;Season;Age;Team;G;GS;AS;WS;ORtg;DRtg;OWS;DWS;WS/48;OBPM;DBPM;BPM;VORP;PER;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Pos;Player-additional
98;Marreese Speights;4.2;2016-17;29;LAC;82;2;0;4.2;114;106;2.5;1.7;0.155;0.9;-0.3;0.6;0.9;17.5;7.9;24.1;16.2;8;0.9;2.6;10.2;23.6;C-F;speigma01
99;Markieff Morris;4.1;2016-17;27;WAS;76;76;0;4.1;106;109;1.6;2.5;0.083;-1.4;-0.1;-1.5;0.3;13.7;5.1;18.2;11.7;7.8;1.7;1.5;11.6;20.5;F;morrima02
100;Malcolm Brogdon;4.1;2016-17;24;MIL;75;28;0;4.1;111;111;2.6;1.5;0.1;0;-0.4;-0.4;0.8;14.9;2.8;9.6;6.3;24.3;2.2;0.5;14.1;18.5;G;brogdma01
101;Nenê;4.1;2016-17;34;HOU;67;8;0;4.1;118;106;2.5;1.6;0.165;0;0.8;0.8;0.8;18.9;8.6;17;12.8;8.6;2.2;2.6;13.1;19.7;F-C;hilarne01
102;T.J. Warren;4.1;2016-17;23;PHO;66;59;0;4.1;113;113;3;1.1;0.096;0.1;-0.7;-0.6;0.7;15.6;6.5;11.7;9;5.8;1.8;1.5;6.1;19.2;F;warretj01
103;Kelly Olynyk;4.1;2016-17;25;BOS;75;6;0;4.1;113;107;2.2;1.9;0.127;-0.3;0.6;0.3;0.9;15.3;5.3;20.7;13.1;15.2;1.4;1.5;14.6;19;C-F;olynyke01
104;Tyson Chandler;4.1;2016-17;34;PHO;47;46;0;4.1;129;109;2.7;1.3;0.151;0.7;-0.3;0.3;0.8;16.6;12.5;33.2;22.6;3.3;1.2;1.5;18.7;11.2;C;chandty01
105;Montrezl Harrell;4.1;2016-17;23;HOU;58;14;0;4.1;129;110;3.1;1;0.183;0.9;0.1;1;0.8;19.2;8.3;14.2;11.2;9.6;0.9;3.2;9.9;17.6;F-C;harremo01
106;Ersan İlyasova;4.1;2016-17;29;ATLOKCPHI;82;52;0;4.1;107;108;1.8;2.3;0.091;0.4;-0.3;0.1;1.1;14.6;5.9;18.8;12.4;11;1.3;0.9;10.6;22.2;F;ilyaser01
107;Jabari Parker;4;2016-17;21;MIL;51;50;0;4;110;110;2.6;1.5;0.112;2.1;-1.4;0.7;1.2;19.1;5.4;15.7;10.6;14.3;1.5;1.1;9.3;26.5;F;parkeja01
